Country Name,Air Pollution,Energía renovable,Forest Area,Energía Fosil
Algeria,355.639.172,6.864.048,8.180.574,999.779.167
East Asia & Pacific (excluding high income),481.206.418,158.526.129,2.973.632,854.995.945
Early-demographic dividend,599.959.688,256.079.937,219.999.111,795.018.901
East Asia & Pacific,44.849.527,137.534.421,263.009.299,86.396.153
Europe & Central Asia (excluding high income),242.755.719,615.118.411,388.889.279,893.967.812
Europe & Central Asia,183.904.912,126.175.816,380.204.615,783.798.151
Ecuador,162.341.875,122.181.395,508.399.515,868.846.604
"Egypt, Arab Rep.",765.596.013,586.604.491,7.273.093,979.289.298
Euro area,132.245.457,160.443.469,381.630.357,694.166.049
Eritrea,443.749.463,799.301.497,149.940.596,231.334.477
Spain,100.745.888,173.517.358,367.520.446,715.311.218
Estonia,770.555.257,253.260.591,513.549.552,144.902.911
Ethiopia,350.435.975,920.676.519,124.584.004,656.980.663
European Union,138.114.446,162.201.386,379.139.175,711.703.988
Fragile and conflict affected situations,401.098.556,517.335.765,2.747.889,575.783.553
Finland,646.863.987,412.352.406,731.119.813,421.825.268
Fiji,119.228.928,345.718.209,554.099.632,
France,122.897.031,133.470.246,30.820.536,462.259.231
Faroe Islands,,65.358.151,5.730.659,
"Micronesia, Fed. Sts.",118.668.689,115.799.036,917.714.255,
Gabon,413.195.697,813.516.097,884.852.719,227.865.163
United Kingdom,108.005.598,739.522.046,129.252.263,827.165.785
Georgia,229.667.074,318.929.763,406.159.146,722.095.353
Ghana,258.895.233,450.494.921,409.097.284,525.430.601
Gibraltar,,0,0,995.128.172
Guinea,211.966.728,785.178.753,260.459.059,
"Gambia, The",306.218.954,519.307.948,480.632.405,
Guinea-Bissau,269.409.598,870.600.171,704.836.415,
Equatorial Guinea,443.017.997,76.432.749,563.137.246,
Greece,173.650.419,160.857.927,312.164.472,860.493.172
Grenada,242.870.311,110.768.146,499.705.876,
Greenland,125.105.477,14.900.476,536,
Guatemala,265.278.554,599.010.023,333.743.925,37.378.597
Guam,120.225.529,0,462.962.963,
Guyana,236.482.657,240.152.013,84.003.048,
High income,149.869.481,110.149.873,289.028.205,811.567.011
"Hong Kong SAR, China",,85.814.192,,931.728.816
Honduras,231.615.401,540.409.418,421.127.893,524.793.125
Heavily indebted poor countries (HIPC),363.868.795,779.792.426,307.878.152,223.319.447
Croatia,184.331.035,336.481.913,34.338.813,707.036.623
Haiti,162.622.246,783.912.383,35.486.213,22.015.894
Hungary,163.153.279,156.745.498,228.034.895,681.924.014
IBRD only,539.251.477,172.729.441,338.652.555,8.441.351
IDA & IBRD total,517.251.624,227.342.092,319.252.409,808.474.315
IDA total,449.559.819,665.305.116,263.055.112,343.827.013
IDA blend,484.587.002,62.687.211,202.840.142,362.393.232
Indonesia,164.546.318,374.542.683,506.159.842,660.894.755
IDA only,431.548.255,701.981.937,282.984.672,325.658.382
Isle of Man,,381.270.707,607.017.551,
India,896.223.827,366.518.379,237.131.167,735.769.791
Not classified,,,,
Ireland,875.052.153,852.066.979,108.628.252,844.375.872
"Iran, Islamic Rep.",381.094.931,93.911.965,656.449.107,990.225.805
Iraq,565.670.303,91.210.465,190.036.115,959.841.768
Iceland,694.889.665,76.338.871,4.778.055,109.284.873
Israel,220.591.469,368.013.235,75.231.055,917.496.361
Italy,177.692.708,170.903.588,314.244.924,785.864.226
Jamaica,140.743.317,161.167.899,309.861.483,809.713.448
Jordan,332.054.206,313.055.186,109.822.032,976.084.467
Japan,125.866.169,562.502.589,684.649.978,944.074.689
Kazakhstan,137.497.535,130.565.512,122.569.174,991.739.073
Kenya,289.493.501,755.181.686,768.949.626,173.795.726
Kyrgyz Republic,232.981.915,26.608.307,3.362.878,75.476.219
Cambodia,285.833.663,680.079.101,542.963.992,306.290.814
Kiribati,113.937.423,346.502.445,149.999.995,
St. Kitts and Nevis,,169.740.281,423.076.923,
"Korea, Rep.",272.131.104,283.819.151,635.492.158,823.950.038
Kuwait,556.239.042,0,35.072.952,936.898.895
Latin America & Caribbean (excluding high income),183.890.698,273.169.657,475.413.245,727.642.902
Lao PDR,283.901.718,604.741.412,804.689.785,
Lebanon,304.445.669,323.351.915,134.134.899,976.211.011
Liberia,149.422.707,839.355.343,436.980.897,
Libya,475.012.339,175.392.908,12.332.769,991.112.964
St. Lucia,242.363.026,214.586.618,333.770.502,
Latin America & Caribbean,183.999.365,27.082.993,463.804.431,733.463.372
Least developed countries: UN classification,444.218.263,734.133.848,293.887.037,282.241.049
Low income,400.477.959,762.227.212,254.448.239,211.340.481
Liechtenstein,,625.920.263,431.250.006,
Sri Lanka,269.227.765,575.851.811,331.143.374,50.545.574
Lower middle income,626.516.872,403.659.338,290.391.091,661.653.241
Low & middle income,519.354.768,228.240.268,320.215.902,80.727.598
Lesotho,330.801.026,513.888.985,158.102.767,
Late-demographic dividend,45.022.155,140.706.825,390.015.971,861.823.331
Lithuania,128.451.942,277.050.525,34.764.565,679.937.495
Luxembourg,108.576.134,688.323.194,356.790.111,833.317.527
Latvia,148.790.851,402.360.616,53.965.907,567.174.276
"Macao SAR, China",,100.204.706,,
St. Martin (French part),,,183.823.529,
Morocco,2.994.945,117.185.873,126.372.395,884.688.628
Monaco,,,,
Moldova,16.726.461,1.304.735,123.030.117,886.880.222
Madagascar,235.177.667,720.265.271,214.661.396,
Maldives,992.123.086,9.030.324,333.333.333,
Middle East & North Africa,505.227.298,160.152.504,206.581.594,973.590.212
Mexico,230.996.897,975.846.242,340.191.885,9.027.849
Marshall Islands,110.702.202,120.189.983,702.222.241,
Middle income,533.230.077,20.704.621,331.646.255,820.962.696
North Macedonia,317.905.412,212.042.386,395.717.684,794.259.147
Mali,339.161.157,645.912.607,392.889.632,
Malta,144.354.036,393.010.086,109.374.998,977.884.617
Myanmar,402.889.685,661.328.538,453.044.043,442.898.952
Middle East & North Africa (excluding high income),492.261.518,256.679.436,25.130.019,979.470.497
Montenegro,219.470.517,459.943.349,614.869.888,64.664.697
Mongolia,392.951.401,326.984.282,814.264.018,931.993.828
Northern Mariana Islands,103.134.722,0,644.782.605,
Mozambique,226.141.641,888.570.478,485.088.614,126.199.535
Mauritania,431.107.841,320.193.358,22.120.889,
Mauritius,152.926.482,106.338.613,189.950.746,845.423.603
Malawi,251.982.288,79.950.879,335.702.164,
Malaysia,169.231.553,476.977.364,675.111.879,966.281.989
North America,814.222.568,102.205.287,360.143.177,819.794.017
Namibia,260.181.215,276.174.718,849.421.248,667.190.908
New Caledonia,,398.252.302,458.971.554,
Niger,605.413.572,781.414.385,91.134.446,240.603.682
Nigeria,486.333.736,872.992.478,812.784.797,188.767.668
Nicaragua,193.877.213,518.392.836,258.766.827,406.953.921
Netherlands,128.287.971,565.962.774,111.427.722,909.218.839
Norway,767.089.593,571.964.019,331.669.047,579.782.333
Nepal,981.160.166,843.747.891,253.644.925,154.826.794
Nauru,,7.885.016,0,
New Zealand,635.790.351,303.226.371,385.545.547,598.468.441
OECD members,152.262.504,118.019.033,313.184.924,802.116.345
Oman,377.108.805,0,646.204,999.631.687
Other small states,324.659.502,270.011.388,259.779.683,814.485.189
Pakistan,595.183.627,466.045.297,196.528.643,615.853.615
Panama,129.216.151,197.707.886,623.271.442,80.712.662
Peru,275.826.726,259.968.649,57.922.345,795.556.836
Philippines,202.595.872,285.821.719,261.595.734,624.348.963
Palau,,0,87.608.694,
Papua New Guinea,132.452.982,525.523.496,741.107.644,
Poland,222.108.918,115.693.155,307.449.616,900.879.643
Pre-demographic dividend,405.246.514,753.954.028,284.501.862,317.420.525
Puerto Rico,908.922.772,162.786.914,555.400.242,
"Korea, Dem. People’s Rep.",352.402.154,21.033.187,428.369.737,620.519.948
Portugal,878.479.289,304.570.081,348.603.148,728.127.263
Paraguay,126.410.755,631.169.353,393.868.623,33.703.312
West Bank and Gaza,334.482.828,105.302.585,152.325.583,
Pacific island small states,120.054.589,326.587.923,615.774.162,
Post-demographic dividend,124.348.044,115.619.325,316.471.103,796.636.302
French Polynesia,,101.623.565,423.497.268,
Qatar,788.328.403,0,0,999.950.267
Romania,150.064.955,243.318.801,295.192.968,725.236.946
Russian Federation,16.582.163,342.242.695,49.763.569,921.428.758
Rwanda,422.114.874,881.813.038,191.811.922,
South Asia,830.671.706,389.975.422,174.489.087,715.235.235
Saudi Arabia,756.084.406,600.874,45.448.413,999.280.186
Sudan,481.417.422,624.360.285,,317.265.266
Senegal,368.268.378,433.570.636,431.776.866,539.091.172
Singapore,17.408.877,62.162.522,230.606.488,905.788.736
Solomon Islands,121.720.308,629.931.406,782.636.691,
Sierra Leone,176.982.322,730.542.862,412.912.151,
El Salvador,275.025.908,282.654.431,130.019.302,484.295.873
San Marino,,,0,
Somalia,304.010.807,944.269.497,102.652.466,
Serbia,264.920.726,234.292.907,310.839.252,838.712.616
Sub-Saharan Africa (excluding high income),372.096.221,703.029.393,278.053.884,397.893.658
South Sudan,419.005.603,298.296.333,,722.226.348
Sub-Saharan Africa,372.080.858,702.864.319,278.067.009,397.893.658
Small states,288.681.979,239.649.569,364.664.139,846.471.313
Sao Tome and Principe,278.623.019,418.094.377,558.333.317,
Suriname,259.988.471,253.825.364,98.306.409,762.534.958
Slovak Republic,183.041.816,122.427.515,403.452.589,639.460.954
Slovenia,166.327.007,223.004.866,619.563.083,596.632.067
Sweden,695.919.768,496.934.147,689.229.334,297.747.473
Eswatini,179.787.774,676.940.886,33.802.327,
Sint Maarten (Dutch part),,4.795.951,,
Seychelles,209.705.175,129.853.764,884.130.395,
Syrian Arab Republic,415.344.807,235.322.956,267.385.503,977.917.814
Turks and Caicos Islands,,57.683.143,362.105.279,
Chad,512.471.685,892.400.627,397.204.582,
East Asia & Pacific (IDA & IBRD countries),482.831.139,158.321.577,296.373.884,855.776.036
Europe & Central Asia (IDA & IBRD countries),240.454.778,680.252.904,387.693.014,893.287.471
Togo,289.362.915,721.615.066,382.055.531,17.800.633
Thailand,293.646.411,24.095.726,320.401.652,798.390.227
Tajikistan,464.808.292,457.563.924,296.571.713,459.841.419
Turkmenistan,220.849.069,4.126.166,878.215.904,
Latin America & the Caribbean (IDA & IBRD countries),183.982.332,273.496.512,464.597.438,731.612.716
Timor-Leste,204.501.005,184.224.884,468.863.492,
Middle East & North Africa (IDA & IBRD countries),494.124.433,252.759.848,25.136.919,979.470.497
Tonga,1.205.764,169.762.931,12.5,
South Asia (IDA & IBRD),830.671.706,389.975.422,174.489.087,715.235.235
Sub-Saharan Africa (IDA & IBRD countries),372.080.858,702.864.319,278.067.009,397.893.658
Trinidad and Tobago,248.558.423,28.038.013,45.391.813,999.195.064
Tunisia,346.920.588,129.336.297,663.491.278,888.703.881
Turkey,425.957.712,116.078.875,150.885.485,895.439.509
Tuvalu,,0,333.333.333,
Tanzania,288.737.159,866.736.033,524.181.531,14.380.617
Uganda,469.305.668,902.221.301,110.323.157,
Ukraine,204.868.952,349.974.622,166.327.749,753.495.058
Upper middle income,429.799.373,131.480.721,345.873.583,870.276.735
Uruguay,992.681.616,553.913.387,104.117.244,462.703.079
United States,822.072.032,875.430.895,338.696.594,830.890.424
Uzbekistan,289.000.361,289.678.351,759.525.157,
St. Vincent and the Grenadines,230.309.321,58.009.473,692.307.692,
"Venezuela, RB",191.040.615,123.158.343,531.119.533,
British Virgin Islands,,121.680.519,241.333.326,
Virgin Islands (U.S.),111.658.167,275.500.251,505.999.974,
Vietnam,348.960.151,370.354.726,472.280.453,
Vanuatu,119.338.517,321.428.307,3.609.516,
World,45.939.968,17.870.184,30.769.568,809.114.077
Samoa,1.264.356,423.350.774,604.240.283,
Kosovo,,214.611.559,,86.121.582
"Yemen, Rep.",483.386.527,97.420.097,103.983.181,
South Africa,267.222.124,165.881.622,761.773.652,867.914.317
Zambia,284.932.519,880.340.373,656.473.743,
Zimbabwe,228.059.497,810.492.915,371.575.556,
